type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,lbr127hld,wifi_signal_quality
connection,17:04:01,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,NA
pico_reply,17:04:01,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,NA
telemetry,17:04:01,,42,24.22,0.06,0,317,768,769,769,766,NA,NA
telemetry,17:04:02,,42,26.10,0.36,0,656,768,769,769,766,NA,NA
telemetry,17:04:02,,43,26.10,0.06,0,23,768,769,769,766,NA,NA
telemetry,17:04:03,,43,26.10,0.06,0,781,767,769,769,766,NA,NA
telemetry,17:04:03,,44,26.10,0.06,0,336,766,769,769,765,NA,NA
telemetry,17:04:04,,44,26.10,0.12,0,646,766,769,769,766,NA,NA
telemetry,17:04:04,,45,26.10,0.06,0,557,766,769,769,763,NA,NA
telemetry,17:04:05,,45,26.10,0.06,0,833,766,769,769,762,NA,NA
telemetry,17:04:05,,46,26.10,0.18,0,37,766,769,769,762,NA,NA
telemetry,17:04:06,,46,26.10,0.30,0,704,766,769,769,762,NA,NA
telemetry,17:04:06,,47,26.10,0.12,0,637,767,769,769,762,NA,NA
telemetry,17:04:07,,47,26.10,0.06,0,624,767,769,769,762,NA,NA
telemetry,17:04:07,,48,26.10,0.24,0,671,766,769,769,762,NA,NA
telemetry,17:04:08,,48,26.10,0.18,0,52,766,769,769,762,NA,NA
telemetry,17:04:08,,49,26.10,0.30,0,583,767,769,769,762,NA,NA
telemetry,17:04:09,,49,26.10,0.06,0,826,768,769,769,764,NA,NA
telemetry,17:04:09,,50,26.10,0.48,0,62,768,769,769,766,NA,NA
telemetry,17:04:10,,50,26.10,-1.21,0,145,768,769,769,766,NA,NA
telemetry,17:04:10,,51,26.10,0.24,0,827,768,769,769,766,NA,NA
telemetry,17:04:11,,51,26.10,0.06,0,121,768,769,769,766,NA,NA
telemetry,17:04:11,,52,26.10,-1.58,0,938,768,769,769,766,NA,NA
telemetry,17:04:12,,52,26.10,0.12,0,946,768,769,769,766,NA,NA
telemetry,17:04:12,,53,26.10,0.00,0,575,768,769,769,766,NA,NA
telemetry,17:04:13,,53,26.10,0.24,0,302,768,769,769,766,NA,NA
telemetry,17:04:13,,54,26.10,0.06,0,218,768,769,769,765,NA,NA
telemetry,17:04:14,,54,26.10,0.12,0,924,767,769,769,766,NA,NA
telemetry,17:04:14,,55,26.10,0.12,0,220,768,769,769,766,NA,NA
telemetry,17:04:15,,55,26.10,0.12,0,509,767,769,769,766,NA,NA
telemetry,17:04:15,,56,26.10,0.18,0,373,768,769,769,766,NA,NA
telemetry,17:04:16,,56,26.10,0.18,0,683,766,769,769,764,NA,NA
telemetry,17:04:16,,57,26.10,0.54,0,260,766,769,769,764,NA,NA
telemetry,17:04:17,,57,26.10,0.00,0,530,767,769,769,764,NA,NA
telemetry,17:04:17,,58,26.10,0.79,0,329,764,769,769,766,NA,NA
telemetry,17:04:18,,58,26.10,0.18,0,31,765,769,769,766,NA,NA
telemetry,17:04:18,,59,26.10,0.00,0,387,768,769,769,766,NA,NA
telemetry,17:04:19,,59,25.63,0.79,0,989,768,769,769,766,NA,NA
telemetry,17:04:19,,60,26.10,0.06,0,885,769,769,769,767,NA,NA
telemetry,17:04:20,,61,26.10,0.12,0,275,769,769,769,766,NA,NA
telemetry,17:04:20,,61,26.10,-2.50,0,726,769,769,769,766,NA,NA
telemetry,17:04:21,,62,26.10,0.12,0,808,769,769,769,766,NA,NA
telemetry,17:04:21,,62,26.10,1.03,0,183,769,769,769,766,NA,NA
telemetry,17:04:22,,63,26.10,0.18,0,970,768,769,769,764,NA,NA
telemetry,17:04:22,,63,26.10,0.06,0,947,768,769,769,764,NA,NA
telemetry,17:04:23,,64,26.10,0.06,0,203,769,769,769,766,NA,NA
telemetry,17:04:23,,64,26.10,0.18,0,4,769,769,769,766,NA,NA
telemetry,17:04:24,,65,26.10,0.06,0,690,769,769,768,766,NA,NA
telemetry,17:04:24,,65,26.10,0.06,0,726,769,770,769,766,NA,NA
telemetry,17:04:25,,66,26.10,0.12,0,10,769,769,769,766,NA,NA
telemetry,17:04:26,,66,26.10,-1.28,0,627,769,769,769,766,NA,NA
telemetry,17:04:26,,67,26.10,0.12,0,516,769,770,769,766,NA,NA
telemetry,17:04:27,,67,26.10,1.21,0,598,769,769,769,766,NA,NA
telemetry,17:04:27,,68,26.10,0.42,0,865,768,769,769,766,NA,NA
telemetry,17:04:28,,68,26.10,0.30,0,609,768,768,768,766,NA,NA
telemetry,17:04:28,,69,26.10,0.12,0,288,768,768,768,766,NA,NA
telemetry,17:04:29,,69,26.10,-2.50,0,544,767,768,769,766,NA,NA
telemetry,17:04:29,,70,26.10,0.06,0,644,768,769,769,766,NA,NA
telemetry,17:04:30,,70,26.10,0.18,0,190,768,769,769,766,NA,NA
telemetry,17:04:30,,71,26.10,0.18,0,87,767,769,769,766,NA,NA
telemetry,17:04:31,,71,26.10,0.18,0,104,768,769,769,766,NA,NA
telemetry,17:04:31,,72,26.10,0.12,0,280,769,769,769,766,NA,NA
telemetry,17:04:32,,72,26.10,0.30,0,807,769,770,769,766,NA,NA
telemetry,17:04:32,,73,26.10,0.06,0,677,769,769,769,766,NA,NA
telemetry,17:04:33,,73,26.10,0.06,0,980,769,770,769,766,NA,NA
telemetry,17:04:33,,74,26.10,0.12,0,744,769,769,769,766,NA,NA
telemetry,17:04:34,,74,26.10,0.06,0,859,768,769,769,766,NA,NA
telemetry,17:04:34,,75,26.10,0.00,0,603,769,769,769,767,NA,NA
telemetry,17:04:35,,75,26.10,0.24,0,977,768,769,768,766,NA,NA
telemetry,17:04:35,,76,26.10,0.42,0,633,768,769,769,766,NA,NA
telemetry,17:04:36,,76,26.10,0.06,0,239,768,769,769,766,NA,NA
telemetry,17:04:36,,77,26.10,0.18,0,36,769,769,768,766,NA,NA
telemetry,17:04:37,,77,26.10,0.00,0,875,769,769,769,766,NA,NA
telemetry,17:04:37,,78,26.10,0.24,0,109,769,769,769,766,NA,NA
telemetry,17:04:38,,78,26.10,0.00,0,229,768,769,769,766,NA,NA
