type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,lbr127hld,wifi_signal_quality
connection,17:07:57,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,17:07:57,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,17:07:57,,87,26.10,0.06,0,42,772,769,768,758,NA,90
telemetry,17:07:58,,87,26.10,0.18,0,969,769,769,768,764,NA,90
telemetry,17:07:58,,88,26.57,0.48,0,958,769,769,768,764,NA,90
telemetry,17:07:58,,88,26.57,-1.46,0,988,769,769,768,762,NA,90
telemetry,17:08:00,,89,26.57,1.15,0,12,769,769,768,764,NA,90
telemetry,17:08:00,,89,26.57,0.12,0,591,769,769,768,764,NA,90
telemetry,17:08:00,,90,26.57,0.18,0,42,769,770,768,764,NA,90
telemetry,17:08:00,,90,26.57,0.06,0,720,770,769,768,764,NA,90
telemetry,17:08:01,,91,26.57,0.12,0,137,769,769,768,761,NA,90
telemetry,17:08:02,,91,26.57,0.36,0,777,769,769,768,763,NA,90
telemetry,17:08:02,,92,26.57,0.85,0,497,769,769,768,764,NA,90
telemetry,17:08:03,,92,26.10,0.06,0,727,769,769,768,764,NA,90
telemetry,17:08:03,,93,26.10,0.12,0,797,769,769,768,764,NA,90
telemetry,17:08:04,,93,26.57,0.06,0,245,769,769,768,763,NA,90
telemetry,17:08:04,,94,26.57,0.12,0,501,769,769,768,762,NA,90
telemetry,17:08:05,,94,26.57,0.06,0,324,769,769,768,762,NA,90
telemetry,17:08:05,,95,26.57,0.24,0,649,770,769,768,762,NA,90
telemetry,17:08:06,,95,26.10,0.85,0,845,769,769,768,762,NA,88
telemetry,17:08:06,,96,26.57,0.06,0,266,769,769,768,761,NA,88
telemetry,17:08:07,,96,26.57,0.42,0,47,769,770,768,762,NA,88
telemetry,17:08:07,,97,26.57,0.18,0,889,769,769,768,761,NA,88
telemetry,17:08:08,,97,26.10,0.30,0,526,769,769,767,761,NA,88
telemetry,17:08:08,,98,26.10,0.06,0,116,769,769,768,762,NA,88
telemetry,17:08:09,,98,26.57,0.06,0,825,769,769,768,762,NA,88
telemetry,17:08:09,,99,26.10,0.42,0,412,769,769,768,762,NA,88
telemetry,17:08:10,,99,26.10,0.06,0,356,770,769,768,764,NA,88
telemetry,17:08:10,,100,26.57,0.12,0,659,769,769,768,765,NA,88
telemetry,17:08:11,,101,26.57,0.06,0,246,769,769,768,765,NA,88
telemetry,17:08:15,,101,26.57,0.30,0,464,769,769,768,765,NA,88
telemetry,17:08:15,,102,26.57,0.06,0,936,770,769,768,765,NA,88
telemetry,17:08:15,,102,26.57,0.24,0,456,769,769,768,765,NA,88
telemetry,17:08:15,,103,26.57,0.18,0,45,769,769,768,765,NA,88
telemetry,17:08:15,,103,26.57,0.24,0,303,770,770,768,765,NA,88
telemetry,17:08:15,,104,26.57,0.18,0,196,770,769,771,766,NA,88
telemetry,17:08:15,,104,26.57,0.12,0,997,770,769,768,765,NA,88
telemetry,17:08:15,,105,26.57,0.06,0,973,769,769,768,763,NA,88
telemetry,17:08:15,,105,26.57,0.06,0,354,769,769,768,762,NA,88
telemetry,17:08:16,,106,26.57,0.06,0,401,769,769,768,762,NA,88
telemetry,17:08:16,,106,26.57,0.00,0,147,769,769,768,762,NA,88
telemetry,17:08:17,,107,26.10,0.30,0,697,769,769,768,762,NA,88
telemetry,17:08:17,,107,26.57,0.30,0,823,770,769,768,762,NA,88
