type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,17:37:39,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:37:39,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:39,,191,24.69,0.06,-10,968,769,769,767,766,679,95
telemetry,17:37:39,,192,25.16,0.00,-10,640,769,768,767,766,679,95
telemetry,17:37:40,,192,24.69,0.06,-10,618,769,769,767,766,679,95
telemetry,17:37:41,,193,24.22,0.06,-10,246,769,769,767,766,679,95
telemetry,17:37:41,,193,24.22,0.12,-10,182,769,768,767,766,679,95
telemetry,17:37:41,,194,24.69,0.00,-10,341,769,768,767,766,679,95
telemetry,17:37:42,,194,24.22,0.12,-10,802,769,768,767,766,679,95
telemetry,17:37:42,,195,25.16,0.18,-10,525,769,768,767,766,679,95
telemetry,17:37:43,,195,23.76,0.06,-10,987,769,768,767,766,679,95
telemetry,17:37:43,,196,24.69,0.06,-10,186,769,768,767,766,679,95
telemetry,17:37:44,,196,24.22,0.06,-10,55,769,768,767,766,679,95
telemetry,17:37:44,,197,24.22,0.06,-10,296,769,768,767,766,679,95
telemetry,17:37:45,,197,23.76,0.12,-10,997,769,768,767,766,679,95
telemetry,17:37:45,,198,24.22,0.06,-10,201,769,768,767,766,680,95
telemetry,17:37:46,,198,24.69,0.06,-10,740,769,769,767,766,679,95
telemetry,17:37:46,,199,24.69,0.06,-10,344,769,768,767,766,680,95
telemetry,17:37:47,,199,24.69,0.00,-10,232,769,768,767,766,679,95
telemetry,17:37:47,,200,24.22,0.06,-10,765,769,768,767,766,679,95
telemetry,17:37:48,,200,24.69,0.06,-10,569,769,769,767,766,679,95
telemetry,17:37:48,,201,24.69,0.06,-10,761,769,768,767,766,679,95
telemetry,17:37:49,,201,24.69,0.12,-10,40,769,768,767,766,679,95
pc_command,17:37:49,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:37:49,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
camera,17:37:50,Camera%20image%20saved%3A%20camera_20260910_173750_839.bmp,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:50,,203,24.69,0.06,-10,618,769,768,767,770,680,95
telemetry,17:37:51,,203,24.22,0.06,-10,123,769,769,767,766,679,95
telemetry,17:37:51,,204,24.69,0.06,-10,274,769,768,767,766,679,95
telemetry,17:37:52,,204,24.22,0.00,-10,116,769,768,767,766,679,95
telemetry,17:37:52,,205,24.22,0.12,-10,124,769,768,767,766,679,95
telemetry,17:37:53,,205,24.69,0.12,-10,439,769,769,767,766,680,95
telemetry,17:37:53,,206,24.69,0.06,-10,185,769,769,767,766,679,95
pc_command,17:37:54,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:37:54,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
camera,17:37:55,Camera%20image%20saved%3A%20camera_20260910_173755_453.bmp,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:55,,207,24.69,0.06,-10,611,764,768,767,766,679,95
telemetry,17:37:56,,208,24.69,0.06,-10,368,769,769,767,766,679,95
telemetry,17:37:56,,208,24.69,0.06,-10,117,769,768,767,766,679,95
telemetry,17:37:57,,209,24.69,0.00,-10,208,769,768,767,766,679,95
telemetry,17:37:57,,210,25.63,0.00,-10,860,769,769,767,766,680,95
telemetry,17:37:57,,210,24.22,0.12,-10,69,769,768,767,766,679,95
telemetry,17:37:58,,211,25.16,0.06,-10,919,769,769,767,766,679,95
telemetry,17:37:59,,211,25.63,0.06,-10,258,769,769,767,766,679,95
telemetry,17:37:59,,212,24.69,0.06,-10,376,769,769,767,766,679,95
telemetry,17:38:00,,212,24.22,0.12,-10,302,769,769,767,766,679,95
telemetry,17:38:00,,213,24.69,0.12,-10,295,769,768,767,766,679,95
telemetry,17:38:01,,213,24.69,0.06,-10,982,769,769,767,766,679,95
telemetry,17:38:01,,214,24.69,0.06,-10,31,769,768,767,766,679,95
telemetry,17:38:02,,214,24.22,0.00,-10,474,769,769,767,766,679,95
pc_command,17:38:02,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:38:02,,215,24.69,0.06,-10,712,769,769,767,766,679,95
pico_reply,17:38:03,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
camera,17:38:03,Camera%20image%20saved%3A%20camera_20260910_173803_632.bmp,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:38:03,,216,24.69,0.06,-10,693,769,769,767,766,679,95
telemetry,17:38:04,,216,24.22,0.06,-10,29,769,769,767,766,679,95
telemetry,17:38:04,,217,25.16,0.12,-10,840,769,769,767,766,679,95
telemetry,17:38:05,,217,24.22,0.06,-10,43,769,769,767,766,680,95
telemetry,17:38:05,,218,24.22,0.06,-10,165,769,769,767,766,679,95
telemetry,17:38:06,,218,24.69,0.06,-10,130,769,769,767,766,679,95
telemetry,17:38:06,,219,26.10,0.06,-10,91,769,768,767,766,679,95
telemetry,17:38:07,,219,24.22,0.06,-10,997,769,769,767,766,679,95
telemetry,17:38:07,,220,24.69,0.06,-10,438,769,769,767,766,680,95
pc_command,17:38:07,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:38:07,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pc_command,17:38:08,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
