type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,12:51:43,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:43,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%20frame%20rejected%3A%20invalid%20RLE%20header,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:45,%950%8D0%8D%2F%8DO%8D%2F%8D%2F%8D%2F%8D%20%8D.%8D.%8D%20%85%2F%95O%8D0%8D%2F%8DP%8D%2F%8D%20%95%2F%8DO%95O%95p%9DP%950%8C%EF%95%20%95%20%95O%95o%95p%8D1%8D%20%8C%EF%7C%8EtMl%2Bc%EB%5B%EAK,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:45,%20%20%20%24%20D%20E%20%25%20E%20E%20E%20E%20E%20E%20E%20D%20E%20%20%20%24%20%24%20%24%20%24%20%24%20%24%20%20%20%E4%20%E4%20P%95P%950%950%8D0%950%950%950%8D0%8DP%8D0%85P%85%2F%8D%2F%8D0%95Q%8D0%8D0%95P%95P%95Q%95P%95P%95q%9DQ%9DQ%9DP%9DP%95q%95q%9D%91%95%91%9D%91%9Dp%95p%95p%95Q%84%EF%7C%AE%84%CE%7C%8EtMc%EDc%CCSJK,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:45,%20%26%20F%20F%20e%20e%20E%20e%20F%20F%20E%20e%20f%20F%20E%20E%20%25%20F%20E%20E%20E%20E%20E%20%24%20%25%20E%20E%20E%20%26%20%25%20%25%20%24%20E%20D%20E%20E%20E%20E%20E%20E%20E%20E%20%25%20%25%20%25%20%25%20%24%20E%20E%20%25%20%25%20%25%20%25%20%24%20%25%20%25%20%25%20%24%20%20%20%24%20%25%20%25%20E%20%25%20E%20E%20E%20E%20E%20E%20E%20%24%20D%20%25%20%25%20%25%20%24%20%24%20%24%20%24%20%20%20%20%20%20%200%951%950%951%950%950%95%20%8D%20%8D%20%8D%2F%8D0%8D0%85%20%8D%20%8D%20%8D0%8D%2F%95%2F%95P%95Q%951%95P%95P%95Q%9DP%9DP%9Dp%9DP%9Dq%95%91%9D%91%9Dq%9Dq%9Dp%95q%95q%95Q%8D%20%84%CF%84%CF%7C%AEtMl-dMd%20S,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:45,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:46,%20E%20E%20E%20%25%20%25%20%25%20%25%20%25%20%25%20E%20E%20%25%20%25%20%24%20%24%20%20%20%20%20P%950%950%951%951%950%950%95q%95Q%95Q%95P%95P%8DO%8D%20%8D%20%8D%20%8DO%95O%95P%95Q%9Dp%9DQ%9DP%950%95P%95p%95p%95p%95q%95q%9Dq%9Dq%9Dq%95Q%95q%9Dq%95q%95P%8D0%8DP%85%20%7C%CFt%8El%20d%2Cc%ECS%8CKjKjK,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:51:46,%20e%20e%20E%20E%20E%20e%20E%20E%20E%20E%20%26%20%20%20%25%20D%20E%20E%20E%20E%20%25%20%25%20E%20%25%20E%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20%25%20E%20%25%20%24%20%24%20E%20%25%20%25%20%24%20%24%20%24%20%24%20%20%20%20%20%20%20%20%20%24%20%24%20D%20E%20E%20D%20E%20%26%20%20%20%25%20%24%20D%20%25%20E%20E%20%25%20%25%20%25%20%25%20%25%20%25%201%8D0%8D0%8D0%8D%20%8D%20%8D%20%8D0%950%950%95%20%95%20%950%95P%95P%95p%95q%95Q%95P%9DP%9Dq%951%950%95%2F%950%950%950%95P%95P%95p%95Q%9DQ%9DQ%9Dq%9Dq%9Dq%95q%95p%95P%950%8D%20%8D%2F%85%20%7C%CFt%AEt%8Etnc%EDl%20SkS,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,12:51:46,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
