type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,13:45:05,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:45:05,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:45:05,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
telemetry,13:45:05,,29,21.41,0.01,6.53,0,823,765,769,770,767,857,92
telemetry,13:45:05,,30,23.76,0.01,6.53,0,755,766,769,770,767,755,92
telemetry,13:45:06,,30,23.76,0.01,6.53,0,92,765,769,770,766,592,92
telemetry,13:45:06,,31,22.82,0.04,6.53,0,600,766,769,770,766,584,92
telemetry,13:45:07,,31,22.82,0.00,6.53,0,953,766,769,770,767,688,92
telemetry,13:45:07,,32,26.57,0.01,6.53,0,222,765,769,770,767,681,93
telemetry,13:45:08,,32,23.29,0.02,6.53,0,648,765,769,770,767,602,93
telemetry,13:45:08,,33,23.76,0.03,6.53,0,357,766,769,771,767,690,93
telemetry,13:45:09,,33,23.29,0.02,6.53,0,602,765,769,770,766,737,93
telemetry,13:45:09,,34,23.76,0.02,6.53,0,437,766,769,770,767,857,93
telemetry,13:45:10,,34,23.76,0.04,6.53,0,305,766,769,770,767,950,93
telemetry,13:45:10,,35,23.29,0.01,6.53,0,405,765,769,770,766,969,93
telemetry,13:45:11,,35,23.29,0.01,6.53,0,344,765,769,770,766,964,93
telemetry,13:45:11,,36,28.91,0.02,6.53,0,722,765,769,770,766,951,93
telemetry,13:45:12,,36,25.16,0.02,6.53,0,101,765,770,770,766,936,93
telemetry,13:45:12,,37,23.76,0.02,6.54,0,206,765,769,770,766,923,93
telemetry,13:45:13,,37,23.76,0.01,6.55,0,803,765,769,770,767,756,93
pc_command,13:45:13,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,13:45:13,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,13:45:16,Camera%20image%20saved%3A%20camera_20260911_134515_369.jpg,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
telemetry,13:45:16,,40,23.76,0.04,6.57,0,823,765,769,770,766,731,93
telemetry,13:45:16,,41,23.29,0.03,6.57,0,293,765,769,770,766,709,93
telemetry,13:45:17,,41,22.82,0.05,6.57,0,720,765,769,770,767,764,93
telemetry,13:45:17,,42,23.76,0.01,6.57,0,97,765,769,770,766,840,93
telemetry,13:45:18,,42,23.29,0.03,6.57,0,511,765,769,770,767,934,93
telemetry,13:45:18,,43,23.29,0.00,6.57,0,2,765,769,770,766,961,93
pc_command,13:45:19,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,13:45:19,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
camera,13:45:20,Camera%20image%20saved%3A%20camera_20260911_134519_719.jpg,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
telemetry,13:45:20,,45,23.76,0.01,6.57,0,246,765,769,770,766,923,93
telemetry,13:45:21,,45,22.82,0.02,6.57,0,284,765,769,770,766,801,93
telemetry,13:45:21,,46,23.29,0.03,6.57,0,163,765,769,770,766,685,93
pc_command,13:45:22,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,13:45:22,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
